Time series of measured orientation data in quaternions:
Time (s)	hand_l_imu	humerus_r_imu	torso_imu	radius_l_imu	calcn_r_imu	head_imu	femur_l_imu	radius_r_imu	calcn_l_imu	tibia_l_imu	hand_r_imu	humerus_l_imu	femur_r_imu	pelvis_imu	tibia_r_imu
10.1785098	~[0.707025,0.167935,-0.683087,-0.072838]	~[-0.159383,-0.682397,0.084113,-0.708418]	~[0.378237,-0.321957,-0.218583,-0.839942]	~[0.634492,-0.056805,-0.720698,-0.273473]	~[0.417931,-0.389681,-0.048506,-0.819225]	~[-0.315573,-0.233518,-0.530759,-0.751117]	~[0.687411,-0.302602,-0.642527,-0.151848]	~[0.018210,-0.641883,0.277675,-0.714529]	~[0.562668,-0.240922,-0.265067,-0.745050]	~[0.624983,-0.234998,-0.737169,-0.103702]	~[-0.409230,-0.509881,0.395949,-0.644808]	~[0.756660,-0.181222,-0.595371,-0.200393]	~[-0.192199,-0.722345,0.022908,-0.663892]	~[0.714519,0.332319,-0.512394,0.341289]	~[-0.197050,-0.685988,0.378270,-0.589495]
10.2083791	~[0.707108,0.167615,-0.683034,-0.073263]	~[-0.159446,-0.682458,0.083941,-0.708366]	~[0.378237,-0.321950,-0.218845,-0.839876]	~[0.634480,-0.057142,-0.720575,-0.273754]	~[0.417863,-0.389739,-0.048623,-0.819225]	~[-0.315369,-0.233432,-0.530855,-0.751162]	~[0.687464,-0.302610,-0.642465,-0.151850]	~[0.018121,-0.641980,0.277742,-0.714418]	~[0.562695,-0.240938,-0.265063,-0.745027]	~[0.625064,-0.235030,-0.737103,-0.103608]	~[-0.409356,-0.509872,0.395806,-0.644823]	~[0.756687,-0.181495,-0.595221,-0.200490]	~[-0.192323,-0.722325,0.022791,-0.663882]	~[0.714491,0.332402,-0.512391,0.341272]	~[-0.197287,-0.685972,0.378299,-0.589415]
10.2293029	~[0.707157,0.167081,-0.683046,-0.073900]	~[-0.159403,-0.682588,0.083743,-0.708274]	~[0.378204,-0.321988,-0.219002,-0.839835]	~[0.634400,-0.057726,-0.720411,-0.274248]	~[0.417758,-0.389815,-0.048777,-0.819233]	~[-0.315210,-0.233386,-0.530970,-0.751162]	~[0.687483,-0.302716,-0.642397,-0.151840]	~[0.018460,-0.642150,0.277282,-0.714435]	~[0.562651,-0.241039,-0.265126,-0.745005]	~[0.625150,-0.234994,-0.737054,-0.103521]	~[-0.409377,-0.509479,0.395113,-0.645544]	~[0.756718,-0.181627,-0.595135,-0.200509]	~[-0.192698,-0.722275,0.022851,-0.663826]	~[0.714480,0.332425,-0.512386,0.341282]	~[-0.197467,-0.685944,0.378278,-0.589401]
10.2589491	~[0.707238,0.167023,-0.682942,-0.074223]	~[-0.159353,-0.682645,0.083617,-0.708245]	~[0.378139,-0.322094,-0.219051,-0.839811]	~[0.634395,-0.057992,-0.720331,-0.274413]	~[0.417655,-0.389871,-0.048944,-0.819249]	~[-0.315035,-0.233344,-0.531215,-0.751076]	~[0.687543,-0.302665,-0.642396,-0.151676]	~[0.018671,-0.642300,0.276942,-0.714427]	~[0.562689,-0.241091,-0.265073,-0.744979]	~[0.625276,-0.234934,-0.736983,-0.103405]	~[-0.409144,-0.509728,0.394876,-0.645641]	~[0.756737,-0.181633,-0.595093,-0.200557]	~[-0.192740,-0.722272,0.022646,-0.663823]	~[0.714516,0.332443,-0.512308,0.341305]	~[-0.197699,-0.685884,0.378266,-0.589400]
10.2792862	~[0.707537,0.167197,-0.682564,-0.074456]	~[-0.159476,-0.682623,0.083602,-0.708240]	~[0.378045,-0.322184,-0.219050,-0.839819]	~[0.634416,-0.058120,-0.720296,-0.274430]	~[0.417551,-0.389955,-0.049079,-0.819254]	~[-0.314745,-0.233303,-0.531537,-0.750982]	~[0.687594,-0.302645,-0.642375,-0.151574]	~[0.018626,-0.642420,0.277042,-0.714281]	~[0.562711,-0.241153,-0.265044,-0.744952]	~[0.625411,-0.234868,-0.736904,-0.103298]	~[-0.409079,-0.510054,0.394914,-0.645401]	~[0.756771,-0.181555,-0.595104,-0.200468]	~[-0.192824,-0.722201,0.022364,-0.663886]	~[0.714508,0.332497,-0.512274,0.341321]	~[-0.197785,-0.685881,0.378161,-0.589443]
10.3084981	~[0.707688,0.167327,-0.682353,-0.074659]	~[-0.159588,-0.682716,0.083620,-0.708123]	~[0.377959,-0.322195,-0.219106,-0.839839]	~[0.634349,-0.058425,-0.720323,-0.274449]	~[0.417517,-0.390016,-0.049151,-0.819238]	~[-0.314473,-0.233241,-0.531853,-0.750892]	~[0.687668,-0.302658,-0.642299,-0.151532]	~[0.018786,-0.642615,0.276961,-0.714132]	~[0.562767,-0.241171,-0.264991,-0.744923]	~[0.625537,-0.234761,-0.736845,-0.103206]	~[-0.408916,-0.510293,0.394692,-0.645451]	~[0.756749,-0.181646,-0.595116,-0.200430]	~[-0.192902,-0.722185,0.022171,-0.663887]	~[0.714528,0.332533,-0.512233,0.341305]	~[-0.197882,-0.685888,0.378034,-0.589483]
10.3301858	~[0.707467,0.167016,-0.682633,-0.074885]	~[-0.159563,-0.682740,0.083521,-0.708118]	~[0.377877,-0.322275,-0.219150,-0.839834]	~[0.634260,-0.058860,-0.720317,-0.274578]	~[0.417463,-0.390113,-0.049247,-0.819214]	~[-0.314314,-0.233257,-0.532151,-0.750742]	~[0.687761,-0.302613,-0.642246,-0.151423]	~[0.019174,-0.642858,0.276612,-0.714039]	~[0.562809,-0.241186,-0.264971,-0.744893]	~[0.625649,-0.234727,-0.736773,-0.103111]	~[-0.408419,-0.510448,0.394403,-0.645820]	~[0.756611,-0.181963,-0.595166,-0.200516]	~[-0.193091,-0.722163,0.021977,-0.663862]	~[0.714481,0.332665,-0.512234,0.341273]	~[-0.198044,-0.685823,0.378008,-0.589522]
10.3584113	~[0.707428,0.166669,-0.682748,-0.074985]	~[-0.159614,-0.682811,0.083482,-0.708042]	~[0.377811,-0.322380,-0.219305,-0.839783]	~[0.634240,-0.059195,-0.720318,-0.274549]	~[0.417422,-0.390137,-0.049339,-0.819218]	~[-0.314328,-0.233290,-0.532448,-0.750515]	~[0.687781,-0.302600,-0.642259,-0.151305]	~[0.019682,-0.643080,0.276056,-0.714040]	~[0.562793,-0.241265,-0.264973,-0.744879]	~[0.625738,-0.234725,-0.736711,-0.103021]	~[-0.407835,-0.510864,0.394053,-0.646073]	~[0.756558,-0.182122,-0.595202,-0.200464]	~[-0.193339,-0.722118,0.021864,-0.663843]	~[0.714431,0.332797,-0.512231,0.341253]	~[-0.198169,-0.685715,0.378112,-0.589538]
10.3791075	~[0.707621,0.166369,-0.682613,-0.075051]	~[-0.159477,-0.682852,0.083232,-0.708062]	~[0.377701,-0.322445,-0.219500,-0.839756]	~[0.634206,-0.059574,-0.720300,-0.274592]	~[0.417369,-0.390184,-0.049437,-0.819217]	~[-0.314475,-0.233315,-0.532748,-0.750233]	~[0.687807,-0.302627,-0.642256,-0.151149]	~[0.019875,-0.643329,0.275807,-0.713907]	~[0.562749,-0.241351,-0.265006,-0.744872]	~[0.625828,-0.234701,-0.736649,-0.102971]	~[-0.407542,-0.511461,0.393757,-0.645967]	~[0.756480,-0.182283,-0.595260,-0.200440]	~[-0.193482,-0.722098,0.021705,-0.663828]	~[0.714445,0.332869,-0.512130,0.341306]	~[-0.198231,-0.685667,0.378012,-0.589637]
10.4181172	~[0.707585,0.166081,-0.682726,-0.075002]	~[-0.159374,-0.682866,0.083088,-0.708090]	~[0.377608,-0.322411,-0.219681,-0.839764]	~[0.634101,-0.059837,-0.720384,-0.274559]	~[0.417304,-0.390249,-0.049540,-0.819213]	~[-0.314572,-0.233370,-0.532997,-0.749998]	~[0.687876,-0.302659,-0.642209,-0.150972]	~[0.019979,-0.643479,0.275797,-0.713773]	~[0.562807,-0.241365,-0.264893,-0.744864]	~[0.625985,-0.234586,-0.736553,-0.102966]	~[-0.407238,-0.511924,0.393730,-0.645808]	~[0.756320,-0.182540,-0.595351,-0.200538]	~[-0.193789,-0.722034,0.021754,-0.663807]	~[0.714405,0.332980,-0.512089,0.341343]	~[-0.198290,-0.685614,0.378054,-0.589652]
